ID,Synopsis,Title,MPAARating,Year,ViewerRating

in his mind, each time culminating in her erasure from his memory.

It is no secret that their relationship ended rockily, but as Joel

travels closer to the point where they met, he is faced with times

in his life with Clementine where he had never been happier and more

at peace. Making the decision too late that he doesn't want her wiped

out of his life, Joel tries to find a way to bury Clementine in deep-seated

memories where he hadn't yet known her, in a desperate bid to keep

her with him. The very nature of one's memories, even the negative

ones, after all, offer life experiences that mold you into who you

are; they are personal, unpalatable things that shouldn't be traded for the world.

 

At its core, ""Eternal Sunshine of the Spotless Mind"" is a mystical

motion picture about the power of fate, and how if something is meant

to happen, it will, no matter what. The love story between Joel and

Clementine remains lucid and true, capturing just right all of the

little details about one's relationship with another that make it

personal and unique. The way Joel and Clementine would burrow underneath

their bed covers and bare their souls to each other. Or the way they

would watch drive-in movies without actually paying to go to the drive-in,

creating their own dialogue between the characters they saw on the

screen while sitting in their car on the street. Or the way they liked

to run on the beach after a fresh snowfall. Or the way they would

lay down on iced-over ponds, gazing up at the constellations in the

sky. Scenes like these, small and pure, are beautiful both in their

conception and execution.

 

In one of his most dramatic roles yet, Jim Carrey (2003's ""Bruce Almighty"")

proves why he is such a rare find„a talent who is not only enormously

funny, but can reel in his zaniness and cre ate a performance of astonishing

range and subtlety. Carrey's Joel believes himself to be boring, and

doesn't speak much because of it. Clementine is the exact opposite,

a colorful young woman who changes her hair color practically every

week and seems to talk a lot to hide her insecurities. Together, they

make the perfect match. Kate Winslet (2003's ""The Life of David Gale""),

who is on a roll with her second modern-day part in a row after years

of wearing nothing onscreen but a corset, is a joy to behold as Clementine.

She is lovable without trying to be, funny without having to show

off, and masks a darker, more sorrowful side under a mostly positive

exterior. Carrey and Winslet exude just the right chemistry„a destined

connection„to make the love story between them ring with emotion and vitality.

 

In a supporting role that misleadingly appears to be a throwaway until

a key story developmen t at the beginning of the third act gives her

sudden importance and depth, Kirsten Dunst (2003's ""Mona Lisa Smile"")

is excellent as Lacuna receptionist Mary. Dunst is intentionally humorous

and flighty at the onset, and unexpectedly touching near the end,

a carefree girl who must reevaluate everything she thought she knew

after making a key discovery about herself. Rounding out the cast,

Mark Ruffalo (2003's ""In the Cut"") and Elijah Wood (2003's ""The Lord

of the Rings: The Return of the King"") are Lacuna assistants Stan

and Patrick, the latter of whom secretly pines for Clementine, while

the underrated gem that is Jane Adams (1998's ""Happiness"") warmly

plays Joel's tight-knit sister, Carrie.

 

If ""Eternal Sunshin e of the Spotless Mind"" is boundlessly original

and fascinating, a film not quite like any other ever made, it nonetheless

has trouble reaching the lofty heights of either ""Being John Malkovich""

or ""Adaptation."" All of the little moments from Joel and Clementine's

relationship are, indeed, on view, but too much seems to be missing

from the trajectory of their faltering romance to give the viewer

the complete and full picture. Instead, we are forced to fill in the

blanks ourselves, which works some of the time but is unsatisfying

at other points. The subplots involving Mary and the assistants, which

occur parallel to Joel's memory travelogue, occasionally take the

viewer out of what should be the sole focus. There is a purpose to

these real world interludes, but they still give the picture a certain unevenness.

 

All of the plot elements arrive full circle in the finale, as Joel

and Clementine must face the prospect of getting to know each other

a second time with the knowledge of where things may once again lead.

The notion of such is daunting and powerful, and the film strikes

all of the right notes between bittersweet drama and weighty pathos.

""Eternal Sunshine of the Spotless Mind,"" which gets its name from

one of the many quotes Mary likes to recite, is an unconventional

delight. Problematic as some of its details may be, the core of the

film is unfaltered with candid truthfulness and the nostalgia of memories

that make love worth fighting for.

",Eternal Sunshine of the Spotless Mind,R,2004,3.5

308,"

If you wandered into this movie ten minutes late without

knowing a thing about it, you might swear it was either a

sequel to Tennessee Williams' ""A Streetcar Named Desire"" or

August Wilson's ""The Piano Lesson Part II: the 1960s.""  How

surprised you'd be to find out that this lyrical Southern Gothic

feast trimmed with the precise amount of mysticism and

framed by some glorious photography of the primitive-looking

Louisiana swamps is a first-time directorial effort.  Kasi

Lemmons, who wrote and directed ""Eve's Bayou,"" has

immersed herself in the mind of a ten-year old girl named Eve

Batiste, through whose eyes this adult tale is seen.  This old-

fashioned, multi-generational story which received a screening

at Colorado's Telluride Film Festival focuses on a prosperous

Black Louisiana family and is not only told from a woman's

point of view: its entire vista unfolds as a story dominated by

its women.  Yet its racial and gender crossover potential is

great, given the solid, realistic acting of its well-known all-

Black cast and the effective merging of voodoo, romance,

cultural values, and panorama.  Perhaps ""Eve's Bayou"" is

underscored more by what it is not than by what it embraces. 

It is, happily enough, not another inner-city, macho 'hood

story of drugs and gangster activity, nor is it yet another racial

diatribe or a feel-good buddy movie about Blacks and Whites

teaming up against real enemies.

   Little Eve (played by the remarkably expressive, ten-year-

old Jurnee Smollettt) begins her voiceover narration with a

poetic statement that sets the tone for the movie: ""Memory is

a selection of images, some elusive, others printed indelibly

on the brain.  The summer I killed my father, I was 10 years

old.""  Put yourself in the place of this child, one who could be

of any race, as she observes events surrounding the family

mansion, and understand how she might overreact to some

and, at other times, do what she can to save the integrity and

even the very lives of members of her household.  At a lavish

party given by her parents, her face turns enraged with

jealousy as she observes her dad, Louis Batiste (Samuel L.

Jackson), dancing with her 14-year-old sister Cisely (Meagan

Good) while effectively ignoring her.  Moments later, asleep in

the barn which serves as a wine cellar, she awakens from a

dark corner only to notice her father engaged in sexual

activity with Matty Mereaux (Lisa Nicole Carson), who is

married to a New Orleans teacher, Lenny (Roger Guenveur

Smith).  Eagerly telling her sister what she has watched, she

is told to forget what she observed as she was mistaken: her

father was simply telling a joke and Matty was leaning into

him with laughter.

   Much of ""Eve's Bayou"" deals with the thin line between

truth and illusion, between reality and the arcane.  In this

regard Mozelle Batiste Delacroix (Debbi Morgan) becomes the

story's center.  Mozelle, who has psychic powers and has

been married three times to men who have all died as though

afflicted with her curse, is able to hold her clients' palms and

capture images of people her patrons are anxious to find. 

Each of Mozelle's visions is effectively photographed as

surreal, black-and-white images, in one case of the missing

wife of a client who is in the arms of another man, in another

a young man in Detroit whom she sees shooting up drugs. 

So seriously does Mozelle's sister Cisely take her powers that

when Mozelle foresees a child struck fatally by a vehicle,

Cisely refuses to allow her daughters to go outside.

   Writer-director Kasi Lemmons affixes resonance to her story

by situating it in a historical context.  Some generations back,

a slave named Eve saved the life of her master.  In return,

she is given her freedom and presents her former owner with

sixteen children.  These are some of the descendants of that

union: the ten-year-old is named for that slave.

   ""Eve's Bayou,"" then, represents some of the most

significant images affixed in the mind of its title character,

understandably enough centering on moments of sexuality

involving her dad.  At one point, a seminal event (so to speak)

occurs in which her father either attempts to seduce his

fourteen-year-old daughter or, paradoxically enough, takes

aggressive steps to stop the young woman from seducing

him.  Jurnee Smollett rivets as Eve with exceptional

performances from Debbi Morgan as the clairvoyant Mozelle

and, in a smaller role, the legendary Diahann Carroll as a

witch-like competitor of Mozelle whose evil eye is blamed for

the movie's tragic end.

",Eve's Bayou,R,1997,2

309,"

If James Bond had a 9-year-old daughter named Jane and Jane

were kidnaped to North Korea by an enemy agent, would 007

resort to the World Court of the U.N. to get her back?  Yeah, right. 

But what would happen if James Bond were no longer 007 but just

an ordinary, flawed citizen and parent from Ireland?  His daughter

is not kidnaped but taken away from him according to the laws of

his country, sent to an orphanage against her will.  What's a guy

like that to do?  He could crash the orphanage and demand her

return, and in fact that's exactly what he does. But he finds that

no man is above the law and is not only repulsed for his attempt,

but in addition the Irish courts consider his rash albeit passionate

action to be a strike against him.  There's only one solution:

petition the courts to get the little girl back. 

    We mention James Bond because Pierce Brosnan is the

principal character in Bruce Beresford's new movie ""Evelyn,""

penned by Paul Pender and based (now don't get scared away by

this) on a true story.  This really happened in the Emerald Isle in

1953, made history, and shows that sometimes, however rarely,

an ordinary David can take on a Goliath and, with determination

fueled by the holiday spirit can make enough of an impression on

the world to warrant a movie. 

    In this heartwarming holiday fare a movie that's not as witty or

hip as Douglas McGrath's free adaptation of Charles Dickens's

""Nicholas Nickleby"" Desmond Doyle (Pierce Brosnan) has the

misfortune (or good luck depending on your interpretation) to lose

his wife to another guy, who takes her away from the land of

leprechauns off to remote Australia.  No divorce, not even a

goodbye to him or her daughter Evelyn (Sophie Vavasseur) or her

two sons.  Stuck with a hostile mother-in-law who insists that he

deserves what he got, Desmond's problems pile up when the state

takes the kids to orphanages run by the church, places that are

hardly Dickensian and where kids seem to have a good deal of fun

but, let's face it: a child wants to be with his own folks.  After

gaining the interest of a solicitor, Michael (Stephen Rea) in his

case and that of a barrister, Nick (Aidan Quinn), he takes his

case to court with the moral backing of Bernadette (Julianna

Margulies) who is fond of him, and of legal consultant Tom

Connolly (Alan Bates) as well. 

    Using a good, solid, conventional story line without flashbacks

or special effects or irrelevant soundtrack music, Beresford

illustrates a case that in Ireland seems to have garnered all the

interest and partisanship as did the Caine Mutiny court martial. 

The outcome of the case rests on a conflict between an Irish

statute that insists that a parent who abandons her family must

nonetheless consent to have his or her spouse take custody of a

minor, and the constitution of Ireland which may or may not

conflict with the statute.  This actual case turns out to be Ireland's

Marbury vs. Madison, involving the very first time in history that a

law's very constitutionality is challenged. 

    Pierce Brosnan, using his native Irish dialect, is a lot more

vulnerable than Bond this time around, employing the depths of a

man's courage in downing glass after glass of that awful, dark Irish

ale until he wises up and changes to lemonade.  As the title

character, little Sophie Vavasseur resembles a young Emily

Watson and is as cute as Christmas, performing with a Shirley

Temple charm whether slapped by a vicious nun, surrounded by

lawyers and an audience in a packed courtroom, or within the

loving confines of her single-father home.  Only a scrooge of a

critic could complain about the story's sentimentality, a writer

untouched by the rays of sunshine which to the little girl resemble

a message from the angels. 

",Evelyn,PG,2002,3

310,"

      ""She had her moments,"" sings Che (Antonio Banderas) about

legendary figure Eva Peron (Madonna).  ""She had some style.""  This

perfectly describes Madonna's performance as EVITA.  Madonna has ""some""

style in the role, but not much. 

      Perhaps the problem is that Madonna's performance is all style.

She mugs for the camera, but her acting is rarely convincing and her

songs are one disappointment after another.  To be fair, the score by

Andrew Lloyd Webber has only one decent song.  He is no Rodgers and

Hammerstein replacement.  For the record, I happen to love musicals.  I

have talked to critics who did not like EVITA, and the flames they

usually get claim the reason the critics did not like the film is

because they really don't like musicals. 

      EVITA opens in a crowded movie theater in Buenos Aires.  The year

is 1952.  Someone stops the projector, and the cinema manager (Gabriel

Kraisman) goes out to tell the booing crowd some tragic news, ""It is my

sad duty to inform you that Eva Peron, spiritual leader of the nation,

entered immortality this evening.""  This is followed by mass weeping. 

      The film then goes back in time to Evita's childhood.  The story

treats her as something between a saint and a demigod, and yet, she

remains as much an enigma when the movie is over as when it began.  I

guess she was a liberal because in her weekly radio program she ask her

admirers, ""Tired of a government that no longer gives us the things we

deserve?""  I also learned that the military did not like her, and that

is about it. 

      The cinematography by Darius Khondji is incredibly beautiful.  He

uses shadows and haze to film his subjects.  Everything is bathed in

warm earth tones.  You may have seen his work before in SEVEN, THE CITY

OF LOST CHILDREN, and STEALING BEAUTY.  I predict he will get an

Academy Award nomination for EVITA.  The sets by Brian Morris

(WUTHERING HEIGHTS and SABRINA) are also impressive. 

      The script is by Alan Parker and Oliver Stone and is based on the

play ""Evita"" with lyrics by Tim Rice and music by Andrew Lloyd Webber.

The script has almost every word sung, which might have worked with

stronger singers and better songs.  It does work when they have musical

crowd scenes of people marching with banners unfurled or tanks rolling

and soldiers marching.  The chorus is good, but the individual singers

are not.  Banderas has a rough singing voice, Madonna has a weak one,

and Jonathan Pryce, as Juan Peron, has none at all.  Pryce gives up.

His ""singing"" is more like hummed words. 

      For the first ten or fifteen minutes, the show concentrates on the

crowd scenes and the visuals.  At this point, the film was enjoyable.

And then Madonna makes her entrance and the whole film starts

imploding. 

      As I sat in the theater bored stiff with only the images to

admire, I kept thinking: Where is Oliver Stone when you need him?  He

was originally slated to direct the film, but through a set of

circumstances the director role was given over to Alan Parker.  Parker

is perhaps best known for MISSISSIPPI BURNING, but my favorite picture

of his was PINK FLOYD: THE WALL, which had all of the energy and

singing values that EVITA does not.  You can, however, see a similarity

between the crowd scenes in EVITA and the classroom scenes in PINK

FLOYD: THE WALL.  Still, Stone, as much as I have disparaged him in

some of his work, might have been able to breathe some much needed life

into EVITA. 

      The scene I will always remember from the show is not one of the

excellent crowd sequences, but the first meeting of Eva and Juan.  As

the actors sing each other's names, it is so false and so strange

sounding musically, that I began to laugh out loud at them. 

      In mid-December when I was on my way to the press screening, my

car broke down on the highway.  My ever-reliable auto had not done that

in twelve years.  Maybe it was trying to tell me something.  Maybe I

should have listened. 

      EVITA runs way too long at 2:14.  It is rated PG, but given the

bloody images I was surprised it was not PG-13.  I think some kids

under nine will be scared.  I can not recommend EVITA, but will

generously give it ** for the stunning visuals.  If I could have turned

the sound off, I would have liked it better. 

",Evita,PG,1996,2.5

311,"

      Heart attack city!  So, is your adrenaline a little low?  Suffer

from low blood pressure?  Have I got a cure for you: EXECUTIVE

DECISION.  Since Steven Seagal is on the marquee, you figure, hey, this

has got to be another Steven Seagal action film, right?  Wrong.  Steven

Seagal has basically a cameo role and disappears early on, never to be

seen again.  Moreover, you even guessed the wrong genre; this is a

thriller.  Although there is action, most of the movie's time and

tension is spent in mental anguish with lots of sweaty brows as the

time for disaster approaches.  How will they figure a way to pull it

out? 

      The show starts with an unsuccessful covert mission by Lt. Col.

Austin Travis (Steven Seagal).  The research for the mission was done

at a comfortable desk back in Washington by David Grant, Ph. D. (Kurt

Russell) so Col. Travis and Dr. Grant dislike and distrust each other

from the beginning with each blaming the other for the failed mission.

In the next scene, Dr. Grant gets a flying lesson in a small private

plane.  Just before he gets to fly solo for the first time, he is

called back to his desk to learn about the failed mission.  Right then

and there, the whole audience knows the ending of the show, but it

doesn't matter because editor turned director Stuart Baird is so good

at keeping the tension mounting. 

      While Dr. Grant is in a very formal tuxedo at a government ball,

he gets called to the Pentagon situation room.  It seems that the same

terrorist group has hijacked a 747 and plans to kill everyone on board

unless another terrorist is released from an American prison.  Up until

then, it is the classic terrorist problem, but Dr. Grant deduces the

terrorists have an extremely lethal nerve gas called DC-5 on board, and

they do not want to land in Washington, D. C., they want to kill

everyone there with the gas by taking the plane on a kamikaze mission. 

      The only solution is to get on board the 747 in flight, defuse the

bomb attached to the nerve gas, subdue the terrorists and land the

plane.  The question is should the president make an executive decision

instead to shoot down the plane and the 400 people on board before the

terrorists get a chance to explode the nerve gas over land.  Dr. Grant

says the rescue mission is possible since he knows a nerdy engineer

named Cahill (Oliver Platt) who has devised a theoretical way to fly a

stealth fighter underneath another plane and link up without being

detected.  Platt does all nerds proud and the classic little straw he

sucks on turns out to be one of the heroes of the show. 

      Cahill, Dr. Grant, and a small, crack secret forces team headed by

Col. Travis flies in the stealth fighter which links up with the 747.

Most of the show happens after the army team plus Cahill and Dr. Grant,

still in his Tux, boards the cargo hold of the 747.  I will not cover

what happens next, but suffice it to say that your heart may try to

pound out of your chest as mine did.  I even found my body shaking some

on the defusing the bomb scenes.  The soldier named Cappie tells the

Cahill while trying to defuse the bomb not to worry since, ""if you

screw up, you'll never know it."" 

      Beside what I believe is one of the best performances ever by

Russell, many others are great too.  David Suchet from PBS's Perot

series, is excellent as the leader of the terrorists on the plane.

Halle Barry plays a brave and resourceful airline stewardess.  John

Leguizamo and B. D. Wong are good as some of the soldiers.  The only

weak character in the show is an ambitious senator (J. T. Walsh) who

wants to be the next president.  This character happens to be on board

the plane, but I wish he hadn't been.  The senator's aid tells him,

""Senator I think we are presented with an incredible opportunity here.""

The senator quizzically asks, ""Opportunity for what?""  The aid goes on

to explain, ""Remember how the press is always talking about your not

having a war record?  You could be the one to negotiate with the

terrorists.""  Walsh's performance is extremely weak, and the movie

would have been more focused without his character. 

      The show works because of the tension, but there is one technical

aspect deserving of special mention, the cinematography by Alex

Thomson.  The first time we witness the terrorists in action, they are

shown in black and white slow motion sequences that slowly gain color

before dissolving into the next black and white sequence.  See the show

at your local monster screen house because the images of the stealth

fighter coming right at you in the hazy yellow and red glow of early

morning are quite impressive as is the sound.  The whole linkup

sequence is another marvel to behold.  Finally, although the show does

not try to overwhelm its viewers with technology, I was fascinated by

the way the soldiers look through cameras with small flexible tubing to

see what is going in the main cabin. 

      The script by Jim and John Thomas sticks to the suspense to keep

the show going.  Other writers would have gone for a lot more laughs.

They do use humor, but sparingly.  Upon boarding the 747, one of the

soldiers says, ""I hope they have a good movie on this flight.""

EXECUTIVE DECISION, by the way, is one film I guarantee you, you will

never see on an airplane. The movie ends with Frank Sinatra singing,

""It's nice to go traveling, but oh so much nicer to come home.""  By

that time, my adrenaline was pumping so fast, I could have flown home

without use of a plane. 

      Since this is about a presidential decision, whom do you think

they cast in the role of the president? In the show's major

incredulity, the answer is: nobody!  The president is AWOL throughout

the entire film and is not available even by telephone since he is out

of the country.  I guess he is in one of those fourth world countries

where they have no phones.  No problem, since the Secretary of Defense

makes all of the decisions for him.  The situation concerns the

destruction of the nation's capital along with tens of millions of

people, but I guess since the president can not be reached, he is

dealing with matters of more import. 

      Finally, every show with bad guys has to have them be of some

nationality or religious conviction.  Although most American shows with

bad guys, have just plain old Americans as the evil characters, I have

seen the villains be Colombians, Italians, Fundamentalist Christains,

and just about everyone imaginable.  In this movie they are Islamic.

We were pamphleted on arrival, admonishing us that Islam does not

condone killing.  I wonder if in the future, I will be pamphleted by

Colombians, Italians, Fundamentalist Christains, etc.?  Oh well, they

were very friendly and polite leafleters.  I should point out that the

number two in command complains at one point to David Suchet about the

destruction of Washington that, ""This has nothing to do with Islam."" 

      EXECUTIVE DECISION runs 2:15, but it feels like a much shorter

show.  I would advise going to the bathroom before entering the

theater.  You do not want to miss a second of the suspense.  The film

is rated R.  This is a soft R that comes from a little bad language and

several people killed, but without a lot of blood or gore, more like an

old fashion Western.  There is no sex or nudity.  The movie would be

fine for any teenager.  I loved this show, and I think you will too so

I recommend it highly and give it *** 1/2. 

",Executive Decision,R,1996,3.5

312,"

 What happens if you single-handedly save the life of the Vice President, 

killing dozens of bad guys in the process and risking your own life?  If 

you're Steven Seagal, you will, of course, get in trouble with your 

superiors for using excessive force. 

 EXIT WOUNDS, by director Andrzej Bartkowiak, a cinematographer whose 

only other directorial assignment was on ROMEO MUST DIE, is a standard 

issue Steven Seagal picture.  With plenty of car crashes, loud 

explosions, noisy guns and corrupt cops, the script follows the usual 

formula.  Only in the brief introduction of a dot-com subtheme does the 

film vary from the standard recipe.  Why they needed two screenwriters 

(Ed Horowitz and Richard D'Ovidio) and one novelist (John Westermann) to 

come up with the canonical story is the only mystery. 

 The story opens hypocritically with the Vice President lecturing on the 

evils of guns in our society.  After this sop to morality, the 

hyperviolence begins.  Too bad they couldn't have gotten Quentin 

Tarantino to do a cameo as the Vice President.  Now, that would have 

been funny.   

 Tom Arnold provides the movie's humor, playing controversial television 

host Henry Wayne.  Officer Orin Boyd (Seagal) meets Wayne in a 

rageaholic meeting.  Boyd is sent to the therapy session by his new 

commander, played by Jill Hennessy (""Law and Order"").  Watching this 

intelligent actress being completely wasted in such a mindless role is 

embarrassing.  One only hopes that she collected a sizeable paycheck for 

the part. 

 The plot involves drugs, with Latrill Walker (DMX) being the flashiest 

big-time dealer around.  Going to a new car dealership, Latrill plunks 

down almost three hundred thousand in cash so he can drive away with the 

fastest and most expensive car on the showroom floor. 

 If you have a high tolerance for violence and like lots of stunt work, 

EXIT WOUNDS delivers.  Sit on the front row so that you can get the 

maximum adrenaline rush.  The movie is like a roller coaster ride at an 

amusement park, so you might as well go for maximum thrills.  Those 

wanting a bit more substance for their entertainment dollars would be 

well advised to pick another theater door. 

 EXIT WOUNDS runs 1:40.  It is rated R for strong violence, language and 

some sexuality/nudity and would be acceptable for older teenagers. 

",Exit Wounds,R,2001,1.5

313,"

 Do you remember the fable: ""The Emperor's New Clothes""? Because

this film was made by the late Stanley Kubrick, because two of

Hollywood's top stars devoted two years of their lives to its

creation, because the ""hype"" has been so carefully orchestrated...few

have dared to call this exquisitely photographed film what it is:

shallow soft-core pornography. Despite Kubrick's meticulous direction,

it's a wretchedly written, cliche-filled dirge about sexual obsession,

based on Arthur Schnitzler's ""Traumnovelle"" (1926).  The slow-paced

story begins with Tom Cruise, as a Manhattan physician, and his wife,

played by Nicole Kidman, preparing to attend a lavish Christmas party,

hosted by Sydney Pollack. That evening, as she flirts with a suave

Hungarian, he's hit on by two giggly models - until he's called

upstairs by the host to revive yet another model who has

overdosed. Later, while stoned, Kidman taunts Cruise with an erotic

tale about a naval officer in Cape Cod.  Reeling with jealousy, he

indulges in his own angst-filled fantasy, involving a kinky tryst with

a hooker and a sinister, masquerade orgy. And he flashes his doctor's

ID card more often than an FBI agent. Why Kidman and Cruise chose to

indulge in this heavy-handed, exhibitionistic carnal endeavor is best

left to their personal therapists - and the gossip columnists. Sure,

the color-drenched cinematography is stunning but, having said that,

it's like leaving a Broadway musical singing the scenery. In

evaluating Jocelyn Pook's moody score, a friend put it best

commenting: ""The music sounds as if were composed by a piano tuner,

pounding on one note."" On the Granger Movie Gauge of 1 to 10, ""Eyes

Wide Shut"" is a perverted, pretentious, numbing 3. It may be

deliberately depraved but you won't be deprived if you wait for the

video. 

",Eyes Wide Shut,R,1999,3.5

314,"

      In the opening of 1993's FALLING DOWN, a man known mainly by his

vanity license plate name, D-FENS, has reached his breaking point.

Stuck in a traffic jam that goes on forever, his air-conditioning has

gone on the fritz, the kids in the school bus nearby are hanging out

their windows screaming and a pesky fly is driving him crazy.  Doing

what we all fantasize about, he walks out of his vehicle and declares

he's had it.  As his figure disappears on the horizon, his fellow

drivers are left dumbstruck as to what to make of this act of courage

or insanity. 

      Dressed in a white shirt with a narrow tie and a plastic pocket

protector, D-FENS, played with a blend of grace and irascibility by

Michael Douglas, has a crew cut head that is drenched in sweat.  When

he walks into a convenience store owned by a Korean, he goes completely

berserk over the owner's inability to give him change.  Using the

owner's bat, he trashes the place for no reason other than deep seated

resentment of minorities as he suspects them of having stolen some of

his opportunities. 

      When two Hispanic gang members pick him out to hold up, they find

they have chosen the wrong guy.  Although no Steven Seagal, Douglas's

fury imbues D-FENS with extraordinary strength.  In no time, D-FENS

becomes an efficient and unemotional killing machine attacking the

people he resents, which covers the vast majority of the residents of

Southern California where he lives.  With his pasty white skin and

bright white shirt, D-FENS stands out in the crowd of minorities that

populate most of the picture. 

      D-FENS has no safe haven.  Lost, he wants to return to his

ex-wife's house for his daughter's birthday.  With the natural fear of

a deranged ex-husband, Barbara Hershey plays his jumpy ex-wife. 

      His gripe is not confined to minorities.  When, one minute too

late, he enters a fast food restaurant, he finds that he can no longer

order breakfast from its excessively smiling personnel.  Grinning from

ear to ear, the clerk and her manager explain that they are not serving

breakfast anymore.  It is arguably in this scene when he most touches a

nerve in all of us.  Who among us has not been in a similar situation?

When he pulls out his machine gun, all of a sudden he can have the very

thing that was deemed impossible only seconds earlier. 

      The beauty of Douglas's everyman performance is how polite he

remains to those shocked by his bizarre behavior.  His stiff, awkward

walk and his sad story leave the viewer with somewhat ambiguous

feelings about him.  One moment you hate him, but the next he begins to

generate some hidden sympathy, most notably in the fast food scene, but

also in others. 

      In the cliched role of the cop on his last day on the job, Robert

Duvall plays a perpetually mild-mannered detective named Prendergast.

In contrast to D-FENS's seething anger, Prendergast has the relaxed

look of someone about to retire.  Unfazed, he enjoys his last day in

his war against criminals.  ""I don't like you,"" his boss admits.  ""You

know why?  You don't curse.  I don't trust a man who doesn't curse.""

(The once beautiful and slender Tuesday Weld, now with rolls of fat,

plays Prendergast's clingy wife.) 

      ""I'm the bad guy?"" asks a disbelieving D-FENS when finally trapped

by Prendergast.  ""How did that happen?""  Swept up in a tide of events

that has engulfed his life, he has no idea what has happened to him.

He was just an average Joe Engineer only a month ago before he was laid

off. 

      Part Orwellian morality tale and part bizarre little movie,

FALLING DOWN both fascinates and repulses the viewer.  It is an uneven

and frequently pretentious story that is never as important or dramatic

as it thinks it is.  Still, there is a hint of truth in every scene

even if overblown.  When the film ends, you realize that it has touched

hidden nerves in strange and unsettling ways. 

      FALLING DOWN runs 1:48.  It is rated R for profanity and violence.

The film would be acceptable for teenagers. 

",Falling Down,R,1993,2.5

315,"

Nicolas Cage, as Jack Campbell, the wealthy president of a

mergers-and-acquisitions firm, is living La Dolce Vita in his Manhattan

penthouse and savoring every minute of it.  With $2,400 suits, a

lightning-fast Ferrari and his own limo, he has it all, right down to a

""closet"" that is like an expensive men's clothing boutique.

 

Well he thinks he has it all until an angry man with a gun (Don Cheadle)

interrupts Jack's life to show him a ""glimpse"" of what he is missing.  David

Diamond and David Weissman's imaginative script is equal parts SLIDING

DOORS, A CHRISTMAS CAROL and IT'S A WONDERFUL LIFE.   Director Brett Ratner,

known for his broad comedy RUSH HOUR, shows that he is capable of surprising

subtlety and grace.  THE FAMILY MAN is touching and poignant without ever

getting anywhere near schmaltz.  Even if it's more effective as a romantic

drama than a comedy, it does have many wonderfully funny moments.

 

The story opens at the airport in 1987, where Jack is leaving his college

girlfriend Kate (T_a Leoni, DEEP IMPACT) for a one-year internship abroad.

Fearing that their relationship will not survive the oceanic separation, she

makes a futile, last minute plea for him to stay.

 

We quickly cut to 13 years later, when it's Christmas Eve.  Jack has his

troops working on a 120-billion dollar merger deal.  His old lover, Kate,

has called out of the blue.  Jack's chairman (Josef Sommer) advises him not

to return the call.  ""Old flames are like old tax returns,"" he tells Jack.

""Put 'em in a file cabinet for 3 years and then cut 'em loose.""  Currently

with model-quality girlfriends, Jack doesn't seem the least bit interested

in ever dialing Kate's number.

 

The mysterious character played by Don Cheadle shows up, and before Jack

knows it, he is ""trapped in the suburbs"" in a New Jersey house with 4

bedrooms, 2 1/2 baths, a partially finished basement, a big slobbering dog,

2 young kids and a wife, Kate.  He thinks that he is still rich, but he

isn't, and that he really isn't the family man of his new household, but he

is.  Cage's frozen, wide-eyed expression tells it all about his absolute

panic.  He is convincingly confused, shocked, lost and scared.   Most of all

Jack is appalled by the ordinariness of his new lifestyle.  A big day for

the new Jack is getting treated to a funnel cake at the mall.  His new life

is almost a complete opposite of everything he has worked for.

 

In a film about Cage's character, Leoni does a terrific job of not being

upstaged by Cage.  She takes what could just be a one-dimensional character

and gives it depth, tenderness and a playful joy.

 

The script, wisely, lets only one person, Jack's little daughter Annie

(Makenzie Vega), figure out that Jack has changed.  In an adorable

performance by Vega, Annie decides that Jack is an alien.  Still, she is

happy to show him the ropes on how to be a father, including how to diaper

her brother Josh.  One of the biggest laughs comes when Jack leaves Josh at

daycare.  ""Do I get a receipt or something?"" he asks at the daycare center

as he hands off his son, holding him as if he contained toxic waste.

 

The big question about the narrative is how the story will circle back once

the glimpse is over.  With a completely satisfying resolution, the movie

leaves you with a warm spot in your heart.  A perfect film for the Christmas

season, its messages about the meaning of success and the importance of

family is presented with straightforward and genuine warmth.  An honest

picture and a cute one, although not worthy of Christmas classic status, it

